Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
4434,36,Female,"Living with another (Married, Partnership)",Masters,,2,ASHANTI,District hospital,Pharmacist,Pharmacy,,Just about one day during each week,Fulltime,10,Yes,Yes,Yes,No,,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
4435,36,Female,"Living with another (Married, Partnership)",Other,Membership with the Ghana college of physicians and surgeons ,3,BONO EAST,CHAG Facility,Medical Doctor,Pediatric,,Almost every day of the month,Fulltime,10,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree
4436,32,Female,Living alone,Masters,,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Emergency,,No more than three days during each week,Fulltime,6,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree
4437,41,Male,,First Degree,,2,UPPER EAST,CHAG Facility,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,1,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,
4438,53,Male,"Living with another (Married, Partnership)",Ph.D./DrPH,,4,GREATER ACCRA,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Fulltime,23,Yes,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree
4439,30,Male,"Living with another (Married, Partnership)",Other,Mbchb,1,ASHANTI,Teaching hospital,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,5,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
4440,33,Male,"Living with another (Married, Partnership)",First Degree,,4,EASTERN,District hospital,Physician Assistant,Emergency,,Almost every day of the month,Fulltime,2,Yes,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree
4441,32,Female,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,Regional hospital,Medical Doctor,Emergency,,About one day in the month,Fulltime,6,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree
4442,27,Female,Living alone,First Degree,,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Surgical Unit,,Almost every day of the month,Short-term contract (<13mths),2,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
4443,34,Male,"Living with another (Married, Partnership)",First Degree,,0,AHAFO,Private Hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Fulltime,3,Unsure,No,Yes,Yes,Unsure,Somewhat disagree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree
4444,27,Female,Living alone,Other,Post graduate,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Pediatric,,Almost every day of the month,Fulltime,3,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree
4445,31,Male,Living alone,Other,Doctor of medicine ,0,GREATER ACCRA,Private Hospital,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,5,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
4446,35,Male,"Living with another (Married, Partnership)",Masters,,4,ASHANTI,Private Hospital,Pharmacist,Pharmacy,,No more than three days during each week,Fulltime,3,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree
4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4448,28,Female,"Living with another (Married, Partnership)",Masters,,1,GREATER ACCRA,District hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somwhat agree,Somewhat disagree,Somwhat agree
4449,26,Female,"Living with another (Married, Partnership)",First Degree,,1,ASHANTI,CHAG Facility,Physician Assistant,OPD,,Almost every day of the month,Fulltime,1,Yes,No,No,No,,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Somwhat agree
4450,28,Female,Living alone,First Degree,,0,UPPER WEST,Regional hospital,Medical Doctor,OPD,,Almost every day of the month,Fulltime,2,No,No,Yes,No,,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree
4451,28,Female,Living alone,Other,MBCHB,0,GREATER ACCRA,Teaching hospital,Medical Doctor,Emergency,,No more than three days during each week,Fulltime,2,No,No,Yes,No,,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,37,Female,"Living with another (Married, Partnership)",First Degree,,2,ASHANTI,CHAG Facility,Physician Assistant,OPD,,Almost every day of the month,Fulltime,1,Yes,Yes,Yes,Yes,Unsure,Somwhat agree,Somwhat agree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Somwhat agree
4455,26,Female,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,Academic (University) hospital,Nurse,Medical Unit,,Almost every day of the month,Fulltime,1,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
4456,34,Male,"Living with another (Married, Partnership)",First Degree,,2,GREATER ACCRA,Teaching hospital,Medical Doctor,Emergency,,Almost every day of the month,Fulltime,7,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
4457,30,Female,"Living with another (Married, Partnership)",Ph.D./DrPH,,0,GREATER ACCRA,District hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree
4458,28,Female,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,Health Center (Government),Medical Doctor,Surgical Unit,,Almost every day of the month,Short-term contract (<13mths),2,No,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4459,44,Male,Living alone,Post-Secondary School/SSS/SHS Certificate,,0,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Medical laboratory assisant,Almost every day of the month,Fulltime,15,Unsure,No,Yes,No,,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
4460,22,Female,Living alone,Post-Secondary School/SSS/SHS Certificate,,0,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Medical laboratory Assistant ,Almost every day of the month,Fulltime,2,Unsure,Unsure,No,No,,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
4461,31,Female,Living alone,Other,MbChB ,0,AHAFO,CHAG Facility,Medical Doctor,OPD,,Almost every day of the month,Long-Term Contract (>12mths),4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree
4462,44,Male,"Living with another (Married, Partnership)",Post-Secondary School/SSS/SHS Certificate,,4,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Medical laboratory assistant,Almost every day of the month,Fulltime,18,No,Unsure,Yes,Unsure,,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree
4463,30,Male,Living alone,Other,MD,0,EASTERN,District hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,Unsure,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree
4464,36,Male,Living alone,First Degree,,0,GREATER ACCRA,Teaching hospital,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,4,Yes,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree
4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,28,Female,Living alone,Other,MbChB,0,GREATER ACCRA,CHAG Facility,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,3,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
4467,36,Female,"Living with another (Married, Partnership)",First Degree,,0,ASHANTI,CHAG Facility,Physician Assistant,OPD,,Almost every day of the month,Fulltime,3,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree
4468,36,Male,Living alone,First Degree,,0,GREATER ACCRA,Teaching hospital,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,4,Yes,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree
4469,32,Female,"Living with another (Married, Partnership)",Other,Bachelor of Dental surgery ( BDS),2,WESTERN,Regional hospital,Medical Doctor,OPD,,Almost every day of the month,Fulltime,6,No,No,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree
